GeoID,SPID,evalue,ProteinName,Organism
comp100065_c0_seq1,Q5PRC1,2E-08,Lipoma HMGIC fusion partner homolog,Danio rerio (Zebrafish) (Brachydanio rerio)
comp100097_c0_seq1,Q9UI26,2E-37,Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11),Homo sapiens (Human)
comp100104_c2_seq1,Q9NZJ4,3E-29,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),Homo sapiens (Human)
comp100105_c1_seq1,P18756,2E-73,Protein c-ets-1-B (C-ets-1B) (XE1-B) (Fragment),Xenopus laevis (African clawed frog)
comp100108_c1_seq1,Q9U943,3E-59,Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)],Locusta migratoria (Migratory locust)
comp100109_c0_seq1,O75443,6E-23,Alpha-tectorin,Homo sapiens (Human)
comp100113_c0_seq1,Q95US5,2E-06,"""Beta-1,3-galactosyltransferase bre-5 (EC 2.4.1.-) (Bacillus thuringiensis toxin-resistant protein 5) (Bt toxin-resistant protein 5)""",Caenorhabditis elegans
comp100113_c0_seq2,Q9N295,9E-13,"""Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5) (Fragment)""",Pan troglodytes (Chimpanzee)
comp100113_c1_seq1,Q9MYM7,7E-09,"""Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.-) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)""",Pongo pygmaeus (Bornean orangutan)
comp100129_c0_seq1,Q14644,9E-30,Ras GTPase-activating protein 3 (GAP1(IP4BP)) (Ins P4-binding protein),Homo sapiens (Human)
comp100141_c0_seq1,O95847,1E-65,Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27),Homo sapiens (Human)
comp100174_c1_seq1,Q9UPQ7,9E-13,E3 ubiquitin-protein ligase PDZRN3 (EC 6.3.2.-) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3),Homo sapiens (Human)
comp100184_c0_seq2,Q9C509,3E-24,Sphingosine-1-phosphate lyase (S1PL) (SP-lyase) (SPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase),Arabidopsis thaliana (Mouse-ear cress)
comp100187_c0_seq1,Q16RI1,5E-35,Protein OPI10 homolog,Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
comp100218_c0_seq1,Q9Y5Q9,7E-16,General transcription factor 3C polypeptide 3 (Transcription factor IIIC 102 kDa subunit) (TFIIIC 102 kDa subunit) (TFIIIC102) (Transcription factor IIIC subunit gamma) (TF3C-gamma),Homo sapiens (Human)
comp100298_c0_seq1,A0R5M8,1E-17,Histidine-specific methyltransferase EgtD (EC 2.1.1.44) (Histidine-alpha-N-methyltransferase),6247 MSMEI
comp100305_c0_seq1,P06280,1E-27,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase),Homo sapiens (Human)
comp100366_c1_seq1,Q852M1,1E-43,Probable aldehyde oxidase 2 (AO-2) (EC 1.2.3.1),Os03g57690 OSJNBa0087O09.20
comp100370_c0_seq1,Q494W8,6E-06,CHRNA7-FAM7A fusion protein (CHRNA7-DR1) (D-10),Homo sapiens (Human)
comp100387_c1_seq1,H2A0N9,6E-06,BPTI/Kunitz domain-containing protein 4 (Nacre serine protease inhibitor 3) (NSPI3),Pinctada margaritifera (Black-lipped pearl oyster)
comp100414_c0_seq1,Q3V080,2E-19,Zinc finger protein 583,Mus musculus (Mouse)
